nlp,sql
show all students,SELECT * FROM students ;
list all students,SELECT * FROM students ;
display all students,SELECT * FROM students ;
give me all students,SELECT * FROM students ;
show students list,SELECT * FROM students ;
students older than 18,SELECT * FROM students WHERE age > 18 ;
students age greater than 18,SELECT * FROM students WHERE age > 18 ;
students whose age is above 18,SELECT * FROM students WHERE age > 18 ;
students with age more than 18,SELECT * FROM students WHERE age > 18 ;
students age above 18,SELECT * FROM students WHERE age > 18 ;
students younger than 18,SELECT * FROM students WHERE age < 18 ;
students age below 18,SELECT * FROM students WHERE age < 18 ;
students age less than 18,SELECT * FROM students WHERE age < 18 ;
students whose age is under 18,SELECT * FROM students WHERE age < 18 ;
students age under 18,SELECT * FROM students WHERE age < 18 ;
students exactly 18 years old,SELECT * FROM students WHERE age = 18 ;
students age equals 18,SELECT * FROM students WHERE age = 18 ;
students with age 18,SELECT * FROM students WHERE age = 18 ;
students whose age is 18,SELECT * FROM students WHERE age = 18 ;
students age is 18,SELECT * FROM students WHERE age = 18 ;
how many students are there,SELECT COUNT ( * ) FROM students ;
count students,SELECT COUNT ( * ) FROM students ;
total number of students,SELECT COUNT ( * ) FROM students ;
number of students,SELECT COUNT ( * ) FROM students ;
count all students,SELECT COUNT ( * ) FROM students ;
show students ordered by age,SELECT * FROM students ORDER BY age ;
list students sorted by age,SELECT * FROM students ORDER BY age ;
students order by age,SELECT * FROM students ORDER BY age ;
students sorted by age,SELECT * FROM students ORDER BY age ;
show top 5 students,SELECT * FROM students LIMIT 5 ;
list first 3 students,SELECT * FROM students LIMIT 3 ;
get 2 students,SELECT * FROM students LIMIT 2 ;
show top 10 students,SELECT * FROM students LIMIT 10 ;
